User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Potato Matt ASMR.ONE,@matthew_king95,2021-05-21T06:59:59.000Z,but life for is even harder education even in workplace also pun discriminate ni police brutality If you have privilege use your privilege because people are more likely to listen to you than us,0,0,3
Solomon Kalushi,@IdeologuePower,2021-05-21T06:59:36.000Z,to and first come here small small Notice the pattern of the that are police brutality It is really pathetic to see how some of them reason,3,1,5
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T06:59:17.000Z,to to my tweeter page locate and watch interview from the beginning to the end You will find this video on the th of May on my tweeter page Without watching this video you should know that it is everybody that can be psychologically,4,0,1
Bishop Aubrey Harley,@BishopAHarley,2021-05-21T06:59:11.000Z,to abuse towards from Police brutality to the lack of Anti hate bill is that nobody not even the God serve There this belief even God the behavior of the oppressor News flash you can stop how it in the Book of Revelation,0,0,0
Keithulu,@k3170Makan,2021-05-21T06:59:07.000Z,to and understand punk music Like if play to them do they understand it as clear front racism and police brutality No they can have no such genuine insight to the experience of many who listen to are still racist,1,0,0
hot dog water,@heistflicks,2021-05-21T06:53:29.000Z,white someone up police brutality will respond with yeah that big thing in only would like slice of self and global awareness along with the meat pie ur for lunch,1,0,5
Action Group Against Police Brutality of TI in UK,@AGA_PBinUK,2021-05-21T06:51:20.000Z,to are not selling your data they are trying to psychologically your mind to be paranoid Because once you are paranoid your towards and if care is not taking you will start acting irrationally,0,1,0
me-nuh,@int3rnetbij,2021-05-21T06:49:00.000Z,Stop police brutality towards Quote Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,0
STANmanthapower (F&C),@Freedomandcudd1,2021-05-21T06:48:18.000Z,to and And while police brutality generally is an issue that should be dealt with That mean we should not have any use of the police to protect That should be the job We should just also make sure they do it well not that they don do it at all,0,0,0
누히다 야,@hidayahnizar_hn,2021-05-21T06:46:54.000Z,to reveal autopsy si fight baru polis,0,0,0
Julie,@lisaisme85,2021-05-21T06:45:58.000Z,sending VOODOO to those DIRTY Tweet,0,0,1
StreamNickiMinaj,@ihateyoucoons,2021-05-21T06:45:36.000Z,The in the quote saying she should get life in prison are the same people justifying police brutality and racist The following media potentially sensitive content Change View,0,1,1
,@uhaveatwitte,2021-05-21T06:45:18.000Z,Stop It disgusting,0,0,0
Soph,@jailbaitsoph,2021-05-21T06:43:41.000Z,to brutality all around the world It the sad truth,1,0,1
tequila mockingbird♡,@xdinajoe,2021-05-21T06:43:26.000Z,that numerous post on the recent ethnic cleansing that took place in the middle east are also the who keep silent on police brutality they re actually ignorant but rather jump on trend to show puppetry participation,0,0,1
john oldfield,@joker951159,2021-05-21T06:41:42.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
omogbolahan #Endsars/Endswat=policebrutality,@gbolly_2020,2021-05-21T06:41:18.000Z,to where is my winning ticket,1,1,0
Rami Ismail (رامي),@tha_rami,2021-05-21T06:40:33.000Z,to rami and also understand that illegally is an apartheid state and this latest atrocity with extreme police brutality against peaceful in desperate attempt by the Prime Minister to cling to power as corruption take hold,1,0,0
Mike • CARRD BYF!!!,@luca_catboy,2021-05-21T06:40:02.000Z,police brutality would like to thank all in my country for brutality towards and queer people all suck Tweet Polska mi pom jest si Wi,1,0,2
omogbolahan #Endsars/Endswat=policebrutality,@gbolly_2020,2021-05-21T06:39:53.000Z,to where is my winning ticket in your system,0,0,0
Dora,@thesparkisreal,2021-05-21T06:38:51.000Z,Tweet An exclusive investigation is raising about the death of last May inside the County Jail in,0,0,0
WeAreHongKongers,@HKersAreDying,2021-05-21T06:38:47.000Z,You know it police state when law are not bounded by law Tweet Melamine May News recall,0,0,0
Thina,@ThirdEyeO,2021-05-21T06:38:32.000Z,custody is the department responsibility What his alibi for the period of time in custody All these make one thing probable Don stop talking,0,0,1
"Similarly JUSDIFFERENT-Ebook,Paperback etc.",@BUYJUSDIFFERENT,2021-05-21T06:38:03.000Z,to POLICE BRUTALITY HAVE TO ALWAYS END LOSS OF BLACK LIFE PERSONALLY STILL IN HEALING IS DAYS LAW ENFORCEMENT ACCOUNTABILITY EXHAUSTED,0,0,0
Eyinjueledumare,@Za_Nectar,2021-05-21T06:34:02.000Z,They us past speaking against police brutality They us into an awakening Into political participation And into being better from our little It is movement For better Quote Tweet,0,1,1
mitski's cat,@annieissane,2021-05-21T06:31:41.000Z,hate so are saying that the man who from police brutality is now what the,0,0,1
mundahonkudi,@idioticwanderer,2021-05-21T06:27:51.000Z,to it been painful and bitter reality that in have always been trying to protect the jungle but state police to oppress the and it open violence openly firing,1,0,0
#JusticeforThabani,@lindelani_linn1,2021-05-21T06:27:41.000Z,to just for peaceful protest against police brutality these as,0,0,1
𝐀𝐧𝐠𝐞𝐥𝐢𝐬𝐬𝐚,@angela_cassiani,2021-05-21T06:26:43.000Z,to and no one is her You can love an artist and still be able to criticize them No one is perfect and we pretend is This criticism is valid in time where police brutality is still thing and black are still being affected,1,0,0
Aleta Anderson,@Aleta7,2021-05-21T06:26:18.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
Inspired by Abby,@abydarl,2021-05-21T06:25:05.000Z,to they want is total control Don even bother with the watery Fix the of police brutality collusion with my God fix government incompetence help to thrive Not all these totalitarian lost gibberish,0,0,1
Cheema,@Libeema,2021-05-21T06:24:21.000Z,Fired by the Associated Press after right wing media ran smear for bias Young who are aware of the way traditional media language reality on like police brutality to or are invaluable Quote Tweet wilder May objectivity fickle when the basic we use to report news implicitly stake claim but never or war but not siege and occupation are political yet media make those exact all the time without being as,1,0,0
L.A Johnson,@Loopy_Johnson,2021-05-21T06:22:17.000Z,to and does that have to do with this article that about police brutality and racial injustice,0,0,0
Zandex_,@ezandax,2021-05-21T06:21:14.000Z,police brutality is illegal via police brutality is illegal,0,0,0
shashaaaayacob,@shaaaaashayacob,2021-05-21T06:20:58.000Z,dah stop attention kat tu police brutality kat ni yang benda ni aku paling,0,0,1
Ticcer,@Ticcer,2021-05-21T06:20:15.000Z,FOUND OUT HOW TO END POLICE BRUTALITY via OUT HOW TO END POLICE BRUTALITY FOUND OUT HOW TO END POLICE BRUTALITY ALL TEXT TEXT,0,0,0
from the river to the sea,@flowernpanda,2021-05-21T06:19:49.000Z,Police brutality need to Tweet Mother of grieving outside as her son who was brought into the police station today was dead by the police officer Show this thread,0,0,2
davidrick,@rickdavid1956,2021-05-21T06:19:36.000Z,am very puzzle as to why taken into custody always end up death it this the justice in what is the home ministry doing about this nobody can control the police brutality in only minority are targeted not or so far few Tweet Free Today The year old was said to have been taken in at am and according to the police incident report he at Death Custody,0,1,0
𝒏𝒊𝒌𝒂𝒚𝒔𝒉𝒂,@tharininikaysha,2021-05-21T06:17:06.000Z,If you re dark skinned man regardless of age be precautious and safe You re more likely to be victim of police brutality than the rest of us sorry,0,2,5
vivi,@fungus_pilled,2021-05-21T06:16:43.000Z,they re more than willing to recognize that gun in cop hand is bad while gun in black queer person hand is good yet never seen an anti tech enraged by police brutality self describe anti gun and often see the insufficiency of liberal anti gun,1,0,0
http://80-20.es,@8020es,2021-05-21T06:16:00.000Z,and Digital Security for Police Brutality commerce marketing es and Digital Security for Police In the wake of tax reform proposal which came as more fell into poverty as result of the pandemic spread over the country in late reviving social,0,1,0
